epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
91,3336.6,0.74382,0.52887,1.25487,0.04466,0.9722,0.9687,0.98677,0.8167,0.68453,0.44379,1.26813,0.02573,0.00703,0.00703,0.00703
92,3372.7,0.74274,0.51793,1.24328,0.04193,0.97261,0.9667,0.98678,0.83448,0.66035,0.42729,1.24499,0.02241,0.006997,0.006997,0.006997
93,3408.17,0.71791,0.49476,1.23557,0.04202,0.96975,0.97084,0.98829,0.83591,0.65706,0.42754,1.25594,0.02571,0.006964,0.006964,0.006964
94,3443.9,0.73687,0.51638,1.25699,0.0479,0.96553,0.9679,0.98281,0.8317,0.67126,0.42811,1.26707,0.02418,0.006931,0.006931,0.006931
95,3479.37,0.72869,0.50644,1.22834,0.04218,0.97225,0.97711,0.98871,0.82901,0.67321,0.42373,1.27556,0.02037,0.006898,0.006898,0.006898
96,3514.7,0.71242,0.49219,1.22831,0.04577,0.94941,0.96153,0.97292,0.81814,0.67665,0.46302,1.24237,0.02285,0.006865,0.006865,0.006865
97,3550.09,0.70046,0.48955,1.22103,0.04224,0.97283,0.9613,0.9814,0.83435,0.63713,0.42488,1.24589,0.02227,0.006832,0.006832,0.006832
98,3585.46,0.71071,0.50669,1.21456,0.04329,0.95929,0.96764,0.98553,0.83241,0.66067,0.45449,1.23939,0.02053,0.006799,0.006799,0.006799
99,3620.68,0.70545,0.50058,1.23528,0.04282,0.97489,0.97488,0.98871,0.83881,0.65364,0.42518,1.23456,0.02417,0.006766,0.006766,0.006766
100,3656.41,0.70506,0.49443,1.23933,0.0419,0.97864,0.96068,0.9874,0.83572,0.64495,0.42385,1.2303,0.02434,0.006733,0.006733,0.006733
101,3691.65,0.71977,0.51072,1.24127,0.0439,0.97591,0.97251,0.98744,0.83207,0.6623,0.41759,1.24179,0.02897,0.0067,0.0067,0.0067
102,3727.46,0.70579,0.50481,1.23264,0.04182,0.97284,0.97553,0.9886,0.83439,0.64678,0.41071,1.23064,0.02517,0.006667,0.006667,0.006667
103,3762.92,0.69656,0.4971,1.20977,0.04202,0.97179,0.96731,0.98671,0.83504,0.6528,0.44924,1.26734,0.0264,0.006634,0.006634,0.006634
104,3798.26,0.72444,0.50116,1.2363,0.04924,0.97722,0.96875,0.98401,0.8258,0.64621,0.42736,1.23254,0.02037,0.006601,0.006601,0.006601
105,3833.19,0.70381,0.49612,1.22719,0.04479,0.98079,0.97046,0.98458,0.83739,0.6458,0.40483,1.25376,0.02402,0.006568,0.006568,0.006568
106,3868.86,0.71376,0.4942,1.2203,0.04303,0.96289,0.98017,0.98512,0.84214,0.62896,0.43511,1.24502,0.02366,0.006535,0.006535,0.006535
107,3903.82,0.69358,0.49642,1.20242,0.04359,0.97165,0.97459,0.9882,0.83343,0.6643,0.42332,1.26933,0.0206,0.006502,0.006502,0.006502
108,3939.64,0.7023,0.49544,1.219,0.04397,0.9762,0.969,0.98339,0.83651,0.63898,0.41364,1.24098,0.026,0.006469,0.006469,0.006469
109,3975.54,0.70028,0.48765,1.1911,0.0419,0.97723,0.96568,0.98823,0.82541,0.64438,0.42389,1.24328,0.01946,0.006436,0.006436,0.006436
110,4010.68,0.71443,0.4864,1.22893,0.04404,0.97672,0.97055,0.98111,0.83744,0.633,0.41759,1.22202,0.02014,0.006403,0.006403,0.006403
111,4045.87,0.68417,0.49079,1.19686,0.03852,0.96647,0.97781,0.98845,0.84954,0.6119,0.3938,1.2154,0.01915,0.00637,0.00637,0.00637
112,4081.07,0.70844,0.49273,1.23299,0.04498,0.97492,0.97754,0.98804,0.84749,0.6193,0.41953,1.20755,0.02153,0.006337,0.006337,0.006337
113,4116.36,0.67729,0.48009,1.19383,0.03771,0.97901,0.97614,0.98649,0.85013,0.64143,0.40863,1.22547,0.02792,0.006304,0.006304,0.006304
114,4152,0.69137,0.48277,1.21827,0.03592,0.98566,0.97128,0.98698,0.84126,0.63791,0.39955,1.22338,0.02528,0.006271,0.006271,0.006271
115,4187.43,0.68139,0.47085,1.18375,0.03731,0.96943,0.97173,0.98588,0.8338,0.64406,0.42181,1.2447,0.02425,0.006238,0.006238,0.006238
116,4223.01,0.66992,0.47057,1.19629,0.03679,0.98073,0.97277,0.98571,0.85268,0.61867,0.40954,1.22878,0.02405,0.006205,0.006205,0.006205
117,4258.3,0.68162,0.47535,1.21605,0.04201,0.98145,0.96358,0.98942,0.84573,0.61562,0.40289,1.21896,0.02333,0.006172,0.006172,0.006172
118,4294,0.69258,0.4831,1.20629,0.04156,0.9683,0.96839,0.98596,0.85051,0.60987,0.41203,1.19,0.0197,0.006139,0.006139,0.006139
119,4330.38,0.68682,0.48191,1.21128,0.04017,0.9493,0.96024,0.97928,0.81841,0.71114,0.48032,1.27291,0.02564,0.006106,0.006106,0.006106
120,4365.65,0.66618,0.47143,1.1946,0.03834,0.97016,0.98002,0.98768,0.84584,0.62861,0.40378,1.24117,0.02265,0.006073,0.006073,0.006073
